ORGANISMO / CONSEJERÍA;CENTRO GESTOR;ID OPTE CENTRO DE GASTO;CENTRO DE GASTO;CÓDIGO INTERNO;ID OPTE CENTRO DE CONSUMO;CENTRO DE CONSUMO;TIPO DE CENTRO DE CONSUMO;C.I.F.;DIRECCIÓN;SUPERFICIE CONSTRUIDA;OCUPACIÓN;CUPs E;CUPs GN;GSL;TIPO DE CENTRO A NIVEL DE ADMINISTRACIÓN AUTONÓMICA;CÓDIGO MUNICIPIO DIRECCIÓN;MUNICIPIO DIRECCIÓN;COORDENADA X LONGITUD;COORDENADA Y LATITUD;REFERENCIA CATASTRAL 1;REFERENCIA CATASTRAL 2;REFERENCIA CATASTRAL 3;REFERENCIA CATASTRAL 4;REFERENCIA CATASTRAL 5;REFERENCIA CATASTRAL 6;REFERENCIA CATASTRAL 7;Posición
01 - DE LA PRESIDENCIA;0103 - SG PRESIDENCIA;225;01030000 - SECRETARÍA GENERAL;;3583;LOCAL VINOS DE RUEDA 22;OTROS;S4711001J;CL VINOS DE RUEDA Nº 22 BAJO 2 VALLADOLID (VALLADOLID);;;1;;;OTROS;47186;VALLADOLID;-4.751517;41.616381;4189901UM5048G0103YE;;;;;;;41.616381, -4.751517
02 - ECONOMIA Y HACIENDA;0201 - SG ECONOMIA Y HACIENDA;219;02010000 - SG ECONOMIA Y HACIENDA;;3169;CALLE VILLALPANDO ZAMORA;OTROS;S4711001J;CL VILLALPANDO Nº 5 BAJO 1 ZAMORA (ZAMORA);;;1;;;OTROS;49275;ZAMORA;-5.749467;41.506566;0692015TL7908N0001KJ;;;;;;;41.506566, -5.749467
02 - ECONOMIA Y HACIENDA;0201 - SG ECONOMIA Y HACIENDA;219;02010000 - SG ECONOMIA Y HACIENDA;;3581;DELEGACIÓN TERRITORIAL EN LEÓN;DELEGACION TERRITORIAL;S4711001J;AV PEREGRINOS BAJO 2 LEÓN (LEÓN);22396;560;1;1;;C. ADMINISTRATIVOS;24089;LEÓN;-5.581648079;42.60386945;8302401TN8280S0001QB;;;;;;;42.60386945, -5.581648079
02 - ECONOMIA Y HACIENDA;0201 - SG ECONOMIA Y HACIENDA;219;02010000 - SG ECONOMIA Y HACIENDA;;3577;DELEGACIÓN TERRITORIAL EN PALENCIA;DELEGACION TERRITORIAL;S4711001J;AV CASADO ALISAL Nº 27 PUERTA BJ 34001 PALENCIA (PALENCIA);12600;465;1;1;;C. ADMINISTRATIVOS;34120;PALENCIA;-4.52991562;42.01228322;3424909UM7532S0001IS;;;;;;;42.01228322, -4.52991562
02 - ECONOMIA Y HACIENDA;0201 - SG ECONOMIA Y HACIENDA;219;02010000 - SG ECONOMIA Y HACIENDA;;3575;DELEGACIÓN TERRITORIAL EN VALLADOLID;DELEGACION TERRITORIAL;S4711001J;CL DUQUE DE LA VICTORIA Nº 8 47001 VALLADOLID (VALLADOLID);5509;227;1;1;;C. ADMINISTRATIVOS;47186;VALLADOLID;-4.736062301460636;41.64921839280113;5425203UM5152E0001EW;;;;;;;41.64921839280113, -4.736062301460636
02 - ECONOMIA Y HACIENDA;0201 - SG ECONOMIA Y HACIENDA;219;02010000 - SG ECONOMIA Y HACIENDA;;5995;LITOTECA;OTROS;S4711001J;CL DOCTOR FLEMING 41 BAJO 2  37188 CARBAJOSA DE LA SAGRADA (SALAMANCA);;;1;;;OTROS;37085;CARBAJOSA DE LA SAGRADA;-5.6554226;40.9450495;;;;;;;;40.9450495, -5.6554226
02 - ECONOMIA Y HACIENDA;0201 - SG ECONOMIA Y HACIENDA;219;02010000 - SG ECONOMIA Y HACIENDA;;3572;LOCAL EDUARDO SAAVEDRA;LOCAL;S4711001J;CL EDUARDO SAAVEDRA Nº 33 BAJO 42004 SORIA (SORIA);;;1;;;OTROS;42173;SORIA;-2.477289;41.761039;3637003WM4233N0001ZL;;;;;;;41.761039, -2.477289
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;;6533;ALUMBRADO PARCELA 200;OTROS;Q4700676B;AVDA. FRANCISCO VALLES (PARQUE TECNOLÓGICO),  47151 BOECILLO (VALLADOLID);;;1;;;OTROS;47023;BOECILLO;;;;;;;;;;
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;SC800;731;CENTRO DE SOLUCIONES EMPRESARIALES;ADMINISTRATIVO;Q4700676B;CL JACINTO BENAVENTE, Nº 2 47195 ARROYO DE LA ENCOMIENDA (VALLADOLID);31119;;1;2;;C. ADMINISTRATIVOS;47010;ARROYO DE LA ENCOMIENDA;-4.796832945;41.6150173;0388602UM5008N0001JX;;;;;;;41.6150173, -4.796832945
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;;383;DIRECCIÓN TERRITORIAL DE ÁVILA;ADMINISTRATIVO;Q4700676B;CL SEGOVIA,  Nº 25, BAJO 05005 ÁVILA (ÁVILA);261;4;1;;;C. ADMINISTRATIVOS;05019;ÁVILA;-4.686563;40.660204;7526301UL5072N0036GT;;;;;;;40.660204, -4.686563
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;VA402;733;EDIFICIO CENTRO;ADMINISTRATIVO;Q4700676B;CL JUAN DE HERRERA Nº 16 PARQUE TECNOLÓGICO DE BOECILLO. EDIFICIO CENTRO 47151 BOECILLO (VALLADOLID);5932;;1;1;;C. ADMINISTRATIVOS;47023;BOECILLO;-4.715221;41.519199;7081101UL5978S0001XL;;;;;;;41.519199, -4.715221
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;VA401;732;EDIFICIO DE USOS COMUNES PTBO - VALLADOLID;ADMINISTRATIVO;Q4700676B;PZ VICENTE ALEIXANDRE CAMPOS Nº 1 PARQUE TECNOLÓGICO DE BOECILLO, EDF. USOS MÚLTIPLE 47151 BOECILLO (VALLADOLID);6322;;1;1;;C. ADMINISTRATIVOS;47023;BOECILLO;-4.7152235398092;41.5201455442187;7081104UM5978S0001EA;;;;;;;41.5201455442187, -4.7152235398092
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;LE401;758;EDIFICIO DE USOS COMUNES PTLE LEON;ADMINISTRATIVO;Q4700676B;CL JULIA MORROS S/N PARQUES TECNOLÓGICO DE LEÓN. EDIFICIO DE USOS COMU ARMUNIA (LEÓN);7861;;1;1;;C. ADMINISTRATIVOS;24089;LEÓN;-5.595785172;42.57933413;7075603TN8177N0001XU;;;;;;;42.57933413, -5.595785172
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;;5827;NAVE ARCHIVO LAGUNA DUERO;ADMINISTRATIVO;Q4700676B;CACHICANES 0008 002 BJ 47140 LAGUNA DE DUERO (VALLADOLID);;;1;;;C. ADMINISTRATIVOS;47076;LAGUNA DE DUERO;-4.699611;41.588405;8557806UM5085N0001HE;;;;;;;41.588405, -4.699611
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;;6534;PARCELA ZI-1;OTROS;Q4700676B;AVDA. JUAN ÁLVAREZ DE SALAMIELLA, Nº 3  47151 BOECILLO (VALLADOLID);;;1;;;OTROS;47023;BOECILLO;;;;;;;;;;
02 - ECONOMIA Y HACIENDA;0821 - ICE;92;08210001 - ICE;PA912;1505;PARQUE DE PROVEEDORES RENAULT;EDIF. SERVICIOS;Q4700676B;PL PARQUE DE PROVEEDORES VILLAMURIEL DE CERRATO (PALENCIA);;;3;;;OTROS;34225;VILLAMURIEL DE CERRATO;-4.48492;41.967235;6370702UM7467S0001QS;;;;;;;41.967235, -4.48492
02 - ECONOMIA Y HACIENDA;0822 - ENTE REG.ENERGIA;12;08220000 - EREN;;6600;AREA DE PRESIDENCIA (FOTOVOLTAICA);SERVICIOS AUXILIARES FOTOVOLTAICAS;Q7450005I;PLZA CASTILLA Y LEÓN, 1, BAJO 2 VALLADOLID (VALLADOLID);;;1;;;OTROS;47186;VALLADOLID;;;;;;;;;;
02 - ECONOMIA Y HACIENDA;0822 - ENTE REG.ENERGIA;12;08220000 - EREN;;6599;Cª DE EDUCACIÓN (FOTOVOLTAICA);SERVICIOS AUXILIARES FOTOVOLTAICAS;Q7450005I;AVDA. Mº DE NTRA. SRA. DEL PRADO, 56, BAJO 3 VALLADOLID (VALLADOLID);;;1;;;OTROS;47186;VALLADOLID;;;;;;;;;;
02 - ECONOMIA Y HACIENDA;0822 - ENTE REG.ENERGIA;12;08220000 - EREN;;6587;CARTUJA DE MIRAFLORES (FOTOVOLTAICA);SERVICIOS AUXILIARES FOTOVOLTAICAS;Q7450005I;CAMINO DE LA PAZ, S/N BURGOS (BURGOS);;;1;;;OTROS;09059;BURGOS;;;;;;;;;;
02 - ECONOMIA Y HACIENDA;0822 - ENTE REG.ENERGIA;12;08220000 - EREN;;6601;CENTRO ESPECÍFICO DE FP (FOTOVOLTAICA);SERVICIOS AUXILIARES FOTOVOLTAICAS;Q7450005I;C/ BELLAVISTA, 18-BIS ZAMORA (ZAMORA);;;;;;OTROS;49275;ZAMORA;;;;;;;;;;
02 - ECONOMIA Y HACIENDA;0822 - ENTE REG.ENERGIA;12;08220000 - EREN;;49;EDIFICO EREN;EDIFICIO ADMINISTRATIVO;Q7450005I;AV REYES LEONESES N 11 24008 LEÓN (LEÓN);2525;59;1;2;;C. ADMINISTRATIVOS;24089;LEÓN;-5.583522567;42.6056242;8004903TN8280S0001RB;;;;;;;42.6056242, -5.583522567
